"filename", "language", "HTML", "JSON", "Docker", "JavaScript", "CSS", "Vue", "Markdown", "Properties", "XML", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Project2\MyMvcBackend\Client\Dockerfile", "Docker", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 1, 13
"d:\Project2\MyMvcBackend\Client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"d:\Project2\MyMvcBackend\Client\index.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Project2\MyMvcBackend\Client\package-lock.json", "JSON", 0, 2008, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2009
"d:\Project2\MyMvcBackend\Client\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Project2\MyMvcBackend\Client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Project2\MyMvcBackend\Client\src\app\App.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Project2\MyMvcBackend\Client\src\app\Home.vue", "Vue", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"d:\Project2\MyMvcBackend\Client\src\app\Listening.vue", "Vue", 0, 0, 0, 0, 0, 84, 0, 0, 0, 3, 9, 96
"d:\Project2\MyMvcBackend\Client\src\app\Login.vue", "Vue", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 5, 149
"d:\Project2\MyMvcBackend\Client\src\app\Progress.vue", "Vue", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 3, 108
"d:\Project2\MyMvcBackend\Client\src\app\Reading.vue", "Vue", 0, 0, 0, 0, 0, 84, 0, 0, 0, 3, 9, 96
"d:\Project2\MyMvcBackend\Client\src\app\Register.vue", "Vue", 0, 0, 0, 0, 0, 171, 0, 0, 0, 1, 6, 178
"d:\Project2\MyMvcBackend\Client\src\app\RenderTest.vue", "Vue", 0, 0, 0, 0, 0, 1582, 0, 0, 0, 30, 118, 1730
"d:\Project2\MyMvcBackend\Client\src\app\Speaking.vue", "Vue", 0, 0, 0, 0, 0, 85, 0, 0, 0, 3, 9, 97
"d:\Project2\MyMvcBackend\Client\src\app\TestDetail.vue", "Vue", 0, 0, 0, 0, 0, 341, 0, 0, 0, 2, 10, 353
"d:\Project2\MyMvcBackend\Client\src\app\TestResult.vue", "Vue", 0, 0, 0, 0, 0, 225, 0, 0, 0, 2, 5, 232
"d:\Project2\MyMvcBackend\Client\src\app\Writing.vue", "Vue", 0, 0, 0, 0, 0, 85, 0, 0, 0, 3, 9, 97
"d:\Project2\MyMvcBackend\Client\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Project2\MyMvcBackend\Client\src\components\Footer.vue", "Vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"d:\Project2\MyMvcBackend\Client\src\components\Navbar.vue", "Vue", 0, 0, 0, 0, 0, 145, 0, 0, 0, 2, 11, 158
"d:\Project2\MyMvcBackend\Client\src\components\TestCard.vue", "Vue", 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 5, 46
"d:\Project2\MyMvcBackend\Client\src\main.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 5, 22
"d:\Project2\MyMvcBackend\Client\src\router\index.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"d:\Project2\MyMvcBackend\Client\src\style.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Project2\MyMvcBackend\Client\vite.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 14, 2035, 10, 76, 1, 3183, 3, 1, 2, 55, 226, 5606